kf_id,timestamp,ground_valid,candidate_points,inlier_points,inlier_ratio,normal_l_x,normal_l_y,normal_l_z,sensor_height_m,ground_roll_deg,ground_pitch_deg,predicted_roll_deg,predicted_pitch_deg,roll_error_deg,pitch_error_deg,reference_tilt_error_deg,relative_normal_error_deg,world_z
0,1782712600.439100981,1,738,249,0.337398374,-0.011573055,0.014889244,0.999822172,0.309022299,0.853179482,0.663101982,0.853179482,0.663101982,0.000000000,0.000000000,0.000000000,nan,0.000000000
1,1782712634.539945602,1,746,261,0.349865952,0.009445359,0.023743808,0.999673455,0.178089136,1.360608527,-0.541187237,0.690190770,1.107457505,0.670417757,-1.648644742,1.779732414,1.779732414,0.004802455
2,1782712635.238994122,1,730,314,0.430136986,-0.000948949,0.028772361,0.999585539,0.168589602,1.648763120,0.054370770,0.609183959,1.493524496,1.039579161,-1.439153726,1.775284273,0.457855218,0.002994601
3,1782712636.039057016,1,690,284,0.411594203,-0.011202732,0.008588568,0.999900363,0.282931155,0.492125660,0.641882709,0.572793230,0.895061216,-0.080667570,-0.253178507,0.265716827,1.624281091,0.010386413
4,1782712636.838798761,1,735,287,0.390476190,-0.004743803,0.018147059,0.999824075,0.221692419,1.039818685,0.271800934,0.612479052,1.161294429,0.427339634,-0.889493494,0.986805760,0.821181700,0.007715229
5,1782712637.639343262,1,780,321,0.411538462,-0.006033697,0.005610669,0.999966057,0.242326357,0.321475212,0.345707497,0.672756030,1.484391823,-0.351280818,-1.138684326,1.191622705,0.816607090,0.024713528
6,1782712638.538799286,1,726,282,0.388429752,0.032639768,0.065561176,0.997314583,0.013537653,3.761081751,-1.870453186,0.440572048,0.485824659,3.320509703,-2.356277844,4.071199488,3.812490071,0.019703931
7,1782712639.439227819,1,737,301,0.408412483,0.000251557,0.010262541,0.999947307,0.235423326,0.588010599,-0.014413168,0.735196485,1.229274129,-0.147185886,-1.243687297,1.252365159,3.588977943,0.026905436
8,1782712640.039221048,1,729,288,0.395061728,0.029993059,0.030059614,0.999098011,0.132767902,1.723324011,-1.718733473,0.769399275,0.666919706,0.953924736,-2.385653179,2.569261632,1.579580097,0.031987292
9,1782712640.638701916,1,675,376,0.557037037,0.014871647,0.028565834,0.999481279,0.151878091,1.637105489,-0.852114015,0.536813687,0.764993579,1.100291803,-1.617107594,1.955913586,0.706719888,0.041648149
10,1782712641.339142799,1,733,290,0.395634379,-0.006225220,0.024642138,0.999676954,0.245766791,1.412060807,0.356681163,0.966486183,1.460024009,0.445574624,-1.103342846,1.189893335,0.820904846,0.048726368
11,1782712641.939330339,1,680,352,0.517647059,0.011205556,0.051852137,0.998591904,0.077858016,2.972428302,-0.642044498,0.866564723,1.924809369,2.105863579,-2.566853867,3.319955195,2.193442576,0.050338591
12,1782712642.539551735,1,671,290,0.432190760,-0.003815932,0.018346027,0.999824416,0.251352074,1.051216532,0.218637330,0.622771236,1.321696512,0.428445296,-1.103059182,1.183328396,2.204381369,0.045230856
13,1782712643.139410019,1,684,329,0.480994152,0.012814102,0.039141130,0.999151525,0.158208489,2.243378838,-0.734214042,0.682529915,0.837462059,1.560848923,-1.571676100,2.215007986,1.182072121,0.047340665
14,1782712643.739411354,1,725,271,0.373793103,0.007645030,0.069149176,0.997577037,0.069022613,3.965236215,-0.438032207,1.232116387,1.131754500,2.733119827,-1.569786707,3.151734942,1.018633598,0.053996815
15,1782712644.338730097,1,768,320,0.416666667,-0.000324067,0.062102465,0.998069726,0.093809018,3.560500447,0.018567678,1.193740117,1.397752026,2.366760331,-1.379184348,2.739083346,0.414822572,0.056507181
16,1782712644.939053297,1,713,337,0.472650771,0.007466824,0.027688203,0.999588720,0.159045919,1.586664198,-0.427821462,0.741895722,1.309972993,0.844768476,-1.737794455,1.932217984,1.474191164,0.063276746
17,1782712645.439392090,1,720,321,0.445833333,-0.018080410,0.009130772,0.999794843,0.291090698,0.523247516,1.035987614,0.402201262,1.526075327,0.121046254,-0.490087712,0.504807635,1.436574804,0.054953996
18,1782712645.939478397,1,795,372,0.467924528,-0.007521503,0.023333801,0.999699435,0.137121144,1.337087521,0.430954458,-0.762430896,2.226085219,2.099518417,-1.795130761,2.761836582,2.368104599,0.052169110
19,1782712646.439604282,1,781,342,0.437900128,0.025800206,0.074071088,0.996919166,0.084540547,4.249268189,-1.478406965,1.447488747,0.076673996,2.801779441,-1.555080961,3.204151680,0.827884858,0.057880987
20,1782712647.039523125,1,752,303,0.402925532,0.002292030,0.077389648,0.996998289,0.052577129,4.438549975,-0.131323786,1.794423199,1.236073853,2.644126775,-1.367397639,2.976608958,0.391536875,0.057705729
21,1782712647.639162302,1,858,330,0.384615385,-0.018885757,0.022003461,0.999579500,0.317522927,1.261032171,1.082138495,1.828876397,1.543998750,-0.567844227,-0.461860256,0.731840755,3.305922843,0.050934842
22,1782712648.239159346,1,882,316,0.358276644,-0.013018076,0.025775739,0.999582984,0.302991729,1.477129839,0.745901873,2.122442324,1.402289305,-0.645312485,-0.656387431,0.920392186,0.230330606,0.052501335
23,1782712654.339290619,1,1048,343,0.327290076,0.027699441,0.054445405,0.998132476,0.040181846,3.122234364,-1.587264079,1.521940465,1.499299606,1.600293899,-3.086563685,3.476664359,3.355167075,0.071067215
