current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
55,2,5,0,0.863149217,0.481757201,29.482452672,2.686762857,-0.136313018,3.491700888,0.004465587,0.251096725,25.990751784,2.682297270,-0.387409743,26.131666294,28.561341663,0.658615442,0.314451875,0.294176290,0.895012641,3.208881293,2.445066571,-0.237503642,0.280848869,-4.124414050,3.172285514,5.307421814,26.045457072,-1.625782388,1.363789406,4.534833725,-2.118264972,-2.258129024,26.131760829,5.455888209,26.131666294,5.455888209,0
56,5,5,0,0.822368421,0.496113834,30.033467188,2.737927789,-0.142552971,2.560614824,0.019640388,0.704571784,27.472852364,2.718287401,-0.847124754,27.619998620,27.498117822,-1.134735076,0.275650829,0.317305849,0.538291791,-2.508924653,-0.104375073,-0.236838902,0.676265611,-4.810278306,10.053395833,-1.685144062,27.262948112,-0.456695782,4.403767411,5.338642411,-9.410256846,-1.637230607,27.620102792,10.873214058,27.619998620,10.873214058,0
57,6,5,0,0.826938136,0.462100486,30.593370277,2.799882567,-0.152130594,3.152645350,0.054498255,0.595423281,27.440724928,2.745384311,-0.747553875,27.587847984,27.573264935,0.162904299,-0.228076109,0.513046666,2.207000611,2.559177215,0.000049301,-0.242228455,0.573798843,-2.631302650,9.596325067,5.153269164,27.247082855,-2.245108776,3.694286271,3.598733518,-7.251733672,-2.951298172,27.587892064,8.536540286,27.587847984,8.536540286,0
58,4,5,0,0.851694915,0.474399766,31.149012316,2.891005697,-0.169473264,3.324288368,0.280020684,0.570127666,27.824723947,2.610985013,-0.739600930,27.956743641,29.157486776,-1.093304720,0.137388658,0.073843676,1.649422347,1.859652682,1.222974616,-0.066721218,0.571752282,-0.992769216,10.143138757,4.339270872,27.419141956,-3.214121415,4.409100360,1.517878954,-8.439462288,-2.653616637,27.956753889,8.942014240,27.956743641,8.942014240,0
59,8,5,0,0.867811159,0.451970356,31.741118319,2.917040919,-0.180467801,4.184390545,0.089198776,0.418310016,27.556727774,2.827842144,-0.598777818,27.707913521,27.639482633,-1.534838396,-0.180139559,-0.405673647,2.026128104,-3.183801461,-0.036998816,-0.341424108,0.382540303,-2.720877892,5.226622493,-0.680007268,27.624898260,-0.957079344,1.918711786,2.544867267,-3.072987232,-2.655101375,27.707985486,4.754172169,27.707913521,4.754172169,0
60,9,5,0,0.874789916,0.455554326,32.340653830,2.955478950,-0.190234014,4.652369976,0.101188093,0.270745248,27.688283854,2.854290857,-0.460979261,27.838831530,27.772274722,0.284961461,-0.066338095,0.015321798,1.854579159,0.037079898,-0.057749845,-0.353709946,0.220667758,-3.415056589,2.199387248,2.249401900,27.824155077,-0.499875038,0.752916255,3.512728691,-0.210822615,-2.227713072,27.838828346,4.161261284,27.838831530,4.161261284,0
61,8,5,0,0.828525641,0.474180656,32.907999928,3.018919575,-0.199501288,4.080241680,0.052031245,0.258718520,28.827758248,2.966888330,-0.458219809,28.983651208,28.808836665,-1.603075501,-0.197719969,0.387799992,0.837622536,-1.312639858,-0.145198486,-0.362458242,0.222702092,-4.563265633,2.066523740,1.239763755,28.916831165,-1.910445495,0.472215523,5.039268283,-1.019928580,-2.642216729,28.983718086,5.759633388,28.983651208,5.759633388,0
62,8,5,0,0.818847210,0.491403853,33.647493087,3.107410990,-0.206388496,4.177574158,0.380760521,0.463144273,29.469918930,2.726650470,-0.669532768,29.603361610,29.553356713,-1.622666102,-0.203585347,0.184218645,1.709417049,-0.429915259,-0.001554880,-0.052136804,0.428599046,-1.307470429,7.340535585,-0.082083298,29.395703480,-1.599663140,3.113731162,1.542634760,-5.621567188,-0.478190783,29.603405665,5.842587506,29.603361610,5.842587506,0
65,19,6,1,0.769918699,0.497621335,35.347223235,3.324071340,-0.248996474,8.080601356,0.497943058,0.294613234,27.266621879,2.826128283,-0.543609708,27.418081284,25.499294529,3.000969898,-0.154519180,-0.311928085,1.542971858,10.592017010,-1.763135699,0.109528669,0.233613502,-3.903423662,8.113844378,13.672148273,26.956201868,-3.860886931,3.195597730,4.047139371,-6.332986897,-3.539733893,27.418152963,8.209627826,27.418081284,8.209627826,0
66,15,6,1,0.689381933,0.512622396,35.796869316,3.323390302,-0.239522767,7.342975690,0.919160136,0.243507059,28.453893626,2.404230166,-0.483029826,28.559371544,27.501254898,6.620263053,-0.140520155,-0.935096492,1.648460692,11.571735139,-0.376312331,0.425726307,0.186072680,-2.752263650,4.016233382,7.763355250,28.411930112,2.289214781,1.779421242,1.547004409,-2.539010983,3.692559221,28.559492590,4.767027464,28.559371544,4.767027464,0
67,19,6,1,0.763333333,0.470123195,36.358674702,3.391012737,-0.251938595,8.884300153,0.814183123,0.266307248,27.474374548,2.576829614,-0.518245843,27.599816783,26.510586173,3.070292439,-0.151785792,-0.951659858,1.385105735,6.899878376,-0.960043464,0.427722383,0.210453482,-1.826148257,8.143183771,8.933146136,27.321358581,-1.767267236,3.488940928,1.175769503,-6.684276976,-2.261891807,27.599865525,7.131646861,27.599816783,7.131646861,0
75,30,7,2,0.677533040,0.478047438,41.026452194,3.751912748,-0.344242009,11.591789657,1.817000641,-0.137149250,29.434662537,1.934912106,-0.207092759,29.498917454,25.277053755,-1.465452599,0.193594687,-0.809377805,1.104962288,-3.180886082,-4.101389985,1.158838251,-0.260576950,3.153771777,-0.206735835,-0.983604358,29.420623465,-2.097209164,0.464107893,-3.969440265,1.188686698,-2.266194872,29.498928243,4.702736256,29.498917454,4.702736256,0
76,30,7,2,0.635067114,0.507342866,41.784429888,3.767271368,-0.361345215,13.043548805,1.923204118,-0.110921072,28.740881083,1.844067249,-0.250424143,28.801068412,26.028526341,-1.567175456,0.193664532,-0.745527004,1.267867438,-5.831999699,-2.651538432,1.040322091,-0.201788239,6.034221899,-0.191075843,2.828352043,28.517763529,-3.965666775,0.721210871,-6.739753666,0.541873373,-8.765133640,28.801206481,11.040737492,28.801068412,11.040737492,0
78,31,7,2,0.690579084,0.492382001,42.970417173,3.894960985,-0.401880833,12.033154549,1.970122405,-0.265607061,30.937262624,1.924838580,-0.136273772,30.997383644,26.592703402,-2.559506158,0.080381188,-1.657812488,1.002889254,-2.880123997,-4.150566932,1.373320068,-0.390787357,3.105949439,-0.631247066,3.021294468,30.496639972,-5.532314558,0.435574327,-4.813023730,1.309171589,-5.982269634,30.997439877,7.744985633,30.997383644,7.744985633,0
79,30,7,2,0.685643564,0.485598530,43.545123569,3.986637607,-0.406701898,13.056736540,2.001678160,-0.346256701,30.488387029,1.984959447,-0.060445198,30.552994309,27.802554189,-1.622016461,0.187445910,-1.017508533,0.617648204,1.159554472,-2.621275077,1.114045847,-0.437083558,3.647461731,-2.788632978,5.650887944,30.001500562,-5.760187800,-0.470576752,-4.877744760,3.104914181,-4.705710952,30.553088910,7.369376644,30.552994309,7.369376644,0
80,30,7,2,0.678253840,0.486781756,44.141630194,4.115376763,-0.417822791,13.736138672,2.093837813,-0.262907149,30.405491522,2.021538950,-0.154915642,30.473013196,28.411876273,-1.586795264,0.189359987,-0.790260550,0.728713385,3.197723322,-1.937770851,1.101069399,-0.338689499,3.144948144,-3.349472642,7.020302501,29.773633177,-6.434116654,-0.861888399,-4.159041569,3.854534804,-4.049426130,30.473101931,6.884742374,30.473013196,6.884742374,0
