accepted_step,timestamp,dt_from_previous_s,previous_world_z,current_world_z,previous_roll_deg,previous_pitch_deg,previous_yaw_deg,local_dx,local_dy,local_dz,pitch_step_m,roll_step_m,local_z_step_m,world_z_step_m,reconstructed_step_m,step_closure_error_m,cumulative_pitch_m,cumulative_roll_m,cumulative_local_z_m,cumulative_world_z_m,cumulative_sum_m,cumulative_closure_error_m,max_abs_step_closure_error_m
0,1782712600.439100981,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,1782712600.539184332,0.100083351,0.000000000,0.013125204,0.000000000,-0.000000000,0.000000000,-0.007208799,0.005793589,0.013125204,-0.000000000,0.000000000,0.013125204,0.013125204,0.013125204,0.000000000,0.000000000,0.000000000,0.013125204,0.013125204,0.013125204,0.000000000,0.000000000
2,1782712600.639870167,0.100685835,0.013125204,-0.005328582,0.024126598,0.139443182,-0.030241718,0.005407442,0.003407629,-0.018442117,-0.000013160,0.000001435,-0.018442061,-0.018453786,-0.018453786,-0.000000000,-0.000013160,0.000001435,-0.005316857,-0.005328582,-0.005328582,-0.000000000,0.000000000
3,1782712600.738898277,0.099028111,-0.005328582,0.006051756,0.094620059,-0.003710020,-0.021447082,-0.001055053,-0.005954447,0.011390255,-0.000000068,-0.000009833,0.011390240,0.011380338,0.011380338,0.000000000,-0.000013229,-0.000008398,0.006073383,0.006051756,0.006051756,-0.000000000,0.000000000
4,1782712600.838920593,0.100022316,0.006051756,-0.002541570,-0.008640275,0.097330231,-0.028749427,-0.004968651,0.009344752,-0.008600370,0.000008440,-0.000001409,-0.008600357,-0.008593326,-0.008593326,-0.000000000,-0.000004788,-0.000009808,-0.002526974,-0.002541570,-0.002541570,-0.000000000,0.000000000
5,1782712600.939333916,0.100413322,-0.002541570,0.008036156,0.147670469,0.074949532,-0.002663052,-0.000159584,-0.022627328,0.010635880,0.000000209,-0.000058318,0.010635836,0.010577726,0.010577726,0.000000000,-0.000004579,-0.000068126,0.008108861,0.008036156,0.008036156,0.000000000,0.000000000
6,1782712601.038709164,0.099375248,0.008036156,-0.008939631,-0.041682707,0.122665359,0.111899345,0.001308233,0.023055748,-0.016956257,-0.000002801,-0.000016773,-0.016956214,-0.016975787,-0.016975787,-0.000000000,-0.000007380,-0.000084899,-0.008847352,-0.008939631,-0.008939631,-0.000000000,0.000000000
7,1782712601.138875961,0.100166798,-0.008939631,-0.002341360,0.154059177,-0.056509465,0.023127852,0.002850511,-0.018282724,0.006644647,0.000002811,-0.000049159,0.006644619,0.006598272,0.006598272,0.000000000,-0.000004569,-0.000134058,-0.002202733,-0.002341360,-0.002341360,-0.000000000,0.000000000
8,1782712601.238827705,0.099951744,-0.002341360,-0.004371378,-0.071064283,-0.016597771,0.020376962,-0.012388232,0.027650505,-0.001992137,-0.000003589,-0.000034295,-0.001992135,-0.002030019,-0.002030019,-0.000000000,-0.000008158,-0.000168353,-0.004194868,-0.004371378,-0.004371378,-0.000000000,0.000000000
9,1782712601.338652134,0.099824429,-0.004371378,-0.003109914,0.233889312,0.033859280,-0.027361226,0.012130705,-0.028677688,0.001385711,-0.000007169,-0.000117066,0.001385699,0.001261465,0.001261465,0.000000000,-0.000015326,-0.000285419,-0.002809168,-0.003109914,-0.003109914,-0.000000000,0.000000000
10,1782712601.438971043,0.100318909,-0.003109914,-0.014268282,-0.106208860,-0.061397441,0.011882802,0.004751123,0.016135648,-0.011133575,0.000005091,-0.000029911,-0.011133549,-0.011158369,-0.011158369,-0.000000000,-0.000010235,-0.000315330,-0.013942718,-0.014268282,-0.014268282,-0.000000000,0.000000000
11,1782712601.538881302,0.099910259,-0.014268282,-0.000929093,0.066066682,-0.099712706,-0.036771941,-0.003190650,-0.010444977,0.013356815,-0.000005553,-0.000012044,0.013356786,0.013339189,0.013339189,0.000000000,-0.000015788,-0.000327373,-0.000585932,-0.000929093,-0.000929093,-0.000000000,0.000000000
12,1782712601.638843060,0.099961758,-0.000929093,-0.003403643,-0.224725812,-0.103133014,-0.158128710,-0.003777856,0.014496604,-0.002410914,-0.000006800,-0.000056858,-0.002410892,-0.002474550,-0.002474550,-0.000000000,-0.000022588,-0.000384232,-0.002996824,-0.003403643,-0.003403643,-0.000000000,0.000000000
13,1782712601.738984346,0.100141287,-0.003403643,-0.000304530,0.122115216,-0.070487075,0.012462863,0.012813809,-0.010171227,0.003105037,0.000015764,-0.000021678,0.003105027,0.003099113,0.003099113,0.000000000,-0.000006824,-0.000405910,0.000108204,-0.000304530,-0.000304530,-0.000000000,0.000000000
14,1782712601.839126348,0.100142002,-0.000304530,0.004514511,-0.169730997,-0.006810238,-0.146033828,-0.011829282,0.007703946,0.004843290,-0.000001406,-0.000022822,0.004843269,0.004819041,0.004819041,0.000000000,-0.000008230,-0.000428732,0.004951473,0.004514511,0.004514511,0.000000000,0.000000000
