kf_id,prev_kf,timestamp,world_x,world_y,world_z,world_roll_deg,world_pitch_deg,world_yaw_deg,world_dx,world_dy,world_dz,horizontal_step_m,local_dx,local_dy,local_dz,local_translation_m,local_roll_deg,local_pitch_deg,local_yaw_deg,effective_world_slope_deg,icp_correspondences,icp_rmse
0,-1,1782712600.439100981,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0,0.000000000
1,0,1782712634.539945602,0.518862230,0.028265026,0.004940967,-0.212262283,0.485202390,2.869457247,0.518862230,0.028265026,0.004940967,0.519631528,0.518862230,0.028265026,0.004940967,0.519655019,-0.212262283,0.485202390,2.869457247,0.544786038,2240,0.132657799
2,1,1782712635.238994122,1.032030785,0.072276622,0.008075626,-0.290135169,0.913722727,3.926416288,0.513168555,0.044011595,0.003134659,0.515052412,0.514683380,0.018239030,0.007561031,0.515061951,-0.086853530,0.424684873,1.058434536,0.348703409,2258,0.123322057
3,2,1782712636.039057016,1.549531291,0.118618310,0.011114642,-0.338633017,0.314090890,5.723119997,0.517500505,0.046341689,0.003039016,0.519571289,0.519344579,0.010739459,0.011376865,0.519580177,-0.077272694,-0.608271950,1.793719204,0.335123992,2261,0.096840264
4,3,1782712636.838798761,2.097216246,0.182950444,0.011655931,-0.342037863,0.638717984,7.471176677,0.547684955,0.064332134,0.000541289,0.551450300,0.551359001,0.009374400,0.003619301,0.551450566,-0.013138654,0.314438256,1.749864219,0.056239966,2459,0.108442469
5,4,1782712637.639343262,2.622574906,0.263083745,0.025441252,-0.304423939,0.936907598,7.518932080,0.525358660,0.080133300,0.013785321,0.531434914,0.531131415,0.011024126,0.019773496,0.531613678,0.037086068,0.297899474,0.049528919,1.485908501,2456,0.108423416
6,5,1782712638.538799286,3.133593369,0.290963096,0.019540359,-0.498375715,-0.120132421,4.886090804,0.511018463,0.027879351,-0.005900893,0.511778397,0.510300948,-0.039241494,0.002235100,0.511812415,-0.151180143,-1.042049855,-2.638851632,-0.660600908,2272,0.102374911
7,6,1782712639.338845491,3.674852338,0.357152251,0.021095029,-0.105270930,0.318800959,6.865518987,0.541258970,0.066189155,0.001554670,0.545291002,0.544931762,0.019842531,0.000584726,0.545293218,0.396970444,0.421630861,1.983195886,0.163354610,2379,0.096457337
8,7,1782712639.939899445,4.171180746,0.430762362,0.034335753,-0.232052727,0.084746866,8.332961444,0.496328408,0.073610111,0.013240724,0.501757249,0.501487335,0.013722025,0.016056536,0.501931922,-0.134979593,-0.236645035,1.467020908,1.511610599,2274,0.091521547
9,8,1782712640.539434671,4.680441916,0.457350634,0.048258752,-0.238010121,0.352728780,4.573342130,0.509261169,0.026588272,0.013922999,0.509954777,0.507716853,-0.047556370,0.014481497,0.510144808,-0.000896984,0.283377791,-3.758474702,1.563924871,2033,0.091373033
10,9,1782712641.239309788,5.250305098,0.481401128,0.054417206,-0.074226321,0.930815200,4.178168240,0.569863182,0.024050494,0.006158454,0.570370470,0.569917742,-0.021504178,0.009577940,0.570403716,0.166223214,0.579731247,-0.392736987,0.618614938,2370,0.098583715
11,10,1782712641.839092731,5.755708788,0.491849075,0.054717258,-0.280341483,1.009859948,2.089776180,0.505403690,0.010447947,0.000300052,0.505511671,0.504750212,-0.026413604,0.008466668,0.505511760,-0.172245762,0.082367290,-2.087964675,0.034008546,2317,0.094193134
12,11,1782712642.439341307,6.258127963,0.522151478,0.053318554,-0.119926477,0.925268743,4.368819898,0.502419175,0.030302404,-0.001398704,0.503332160,0.503136507,0.011924647,0.007528405,0.503334103,0.120037308,-0.094938221,2.278311920,-0.159218212,2191,0.092584143
13,12,1782712643.039483547,6.820562145,0.551597532,0.057840299,-0.191440293,0.555995157,2.613790150,0.562434182,0.029446053,0.004521746,0.563204473,0.562896608,-0.013512197,0.013585082,0.563222625,-0.043230760,-0.365165972,-1.755751294,0.459995223,2469,0.087501642
