accepted_step,timestamp,keyframe_count,imu_valid,imu_sample_count,accel_norm_mps2,accel_norm_error_mps2,accel_std_norm_mps2,ground_valid,ground_quality,localmap_ground_valid,localmap_ground_corr,current_ground_L_x,current_ground_L_y,current_ground_L_z,current_ground_W_x,current_ground_W_y,current_ground_W_z,localmap_ground_L_x,localmap_ground_L_y,localmap_ground_L_z,localmap_ground_W_x,localmap_ground_W_y,localmap_ground_W_z,imu_up_L_x,imu_up_L_y,imu_up_L_z,imu_up_W_x,imu_up_W_y,imu_up_W_z,slam_up_L_x,slam_up_L_y,slam_up_L_z,gravity_ref_valid,gravity_ref_W_x,gravity_ref_W_y,gravity_ref_W_z,ground_to_map_deg,slam_to_imu_gravity_deg,frontend_gravity_drift_deg,ground_to_imu_gravity_deg,localmap_to_imu_gravity_deg,ground_to_slam_up_deg,localmap_to_slam_up_deg,current_ground_to_gravity_ref_deg,localmap_ground_to_gravity_ref_deg,world_roll_deg,world_pitch_deg,world_yaw_deg,world_x_m,world_y_m,world_z_m
0,1782712600.439100981,1,1,21,9.807180691,0.000530691,0.041274429,1,0.582780579,0,0,-0.006772701,0.018975687,0.999797006,-0.006772701,0.018975687,0.999797006,nan,nan,nan,nan,nan,nan,-0.006585694,0.007816696,0.999947763,-0.006585694,0.007816696,0.999947763,0.000000000,0.000000000,1.000000000,1,-0.006585694,0.007816696,0.999947763,nan,0.585639505,0.000000000,0.639514519,nan,1.154479574,nan,0.639514519,nan,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,1782712600.539184332,1,1,21,9.804987933,0.001662067,0.040597824,1,0.648376408,1,88,-0.005671368,0.022409878,0.999732781,-0.003226632,0.021990606,0.999752971,-0.002630786,0.007399105,0.999969166,-0.000193423,0.006978132,0.999975634,-0.006358171,0.007625511,0.999950711,-0.003920721,0.007206513,0.999966346,-0.002433740,0.000421087,0.999996950,1,-0.006585694,0.007816696,0.999947763,0.877633871,0.470060772,0.156646633,0.848095009,0.213959750,1.273564502,0.399974330,0.834681127,0.369392240,0.024126598,0.139443182,-0.030241718,-0.007208799,0.005793589,0.013125204
2,1782712600.639870167,1,1,21,9.809146795,0.002496795,0.038149172,1,0.654438094,1,87,-0.004950288,0.019966832,0.999788388,-0.005008172,0.018317599,0.999819676,-0.009843712,0.016875772,0.999809137,-0.009902754,0.015228341,0.999835003,-0.006569242,0.007716986,0.999948645,-0.006631721,0.006068113,0.999959598,0.000064752,0.001651431,0.999998634,1,-0.006585694,0.007816696,0.999947763,0.331627146,0.515037402,0.100223476,0.708031549,0.557348974,1.088106428,1.040834577,0.608455828,0.465291267,0.094620059,-0.003710020,-0.021447082,-0.001844451,0.009206152,-0.005328582
3,1782712600.738898277,1,1,21,9.808960576,0.002310576,0.040903439,1,0.582107139,1,100,-0.003814120,0.022591342,0.999737507,-0.002104423,0.022743162,0.999739126,-0.014878282,0.013457989,0.999798739,-0.013173044,0.013615371,0.999820530,-0.006392820,0.007625143,0.999950493,-0.004690263,0.007778291,0.999958749,-0.001698732,-0.000150801,0.999998546,1,-0.006585694,0.007816696,0.999947763,0.822031924,0.520423080,0.108624337,0.870229578,0.590032855,1.308767518,1.085525017,0.893023473,0.502881040,-0.008640275,0.097330231,-0.028749427,-0.002902476,0.003233299,0.006051756
4,1782712600.838920593,1,1,21,9.803751925,0.002898075,0.039242308,1,0.606321793,1,95,-0.001886178,0.022644624,0.999741798,-0.000577394,0.020067908,0.999798453,-0.002506910,0.014664545,0.999889327,-0.001198330,0.012087504,0.999926225,-0.006322839,0.007544294,0.999951551,-0.005014529,0.004967294,0.999975090,-0.001308116,0.002577331,0.999995823,1,-0.006585694,0.007816696,0.999947763,0.458685072,0.404413803,0.186439514,0.901845415,0.462868737,1.150359518,0.695975142,0.781866004,0.393902306,0.147670469,0.074949532,-0.002663052,-0.007881044,0.012579253,-0.002541570
5,1782712600.939333916,1,1,21,9.809299582,0.002649582,0.038322963,1,0.601531554,1,91,-0.003131750,0.022158922,0.999749556,-0.001036097,0.022884254,0.999737584,-0.014875603,0.013298682,0.999800911,-0.012762472,0.014001135,0.999820528,-0.006467888,0.007601715,0.999950189,-0.004343338,0.008320711,0.999955950,-0.002140913,-0.000727499,0.999997444,1,-0.006585694,0.007816696,0.999947763,0.842907317,0.537791614,0.131683849,0.855774319,0.581963476,1.312629177,1.085532683,0.920090723,0.500860018,-0.041682707,0.122665359,0.111899345,-0.008027844,-0.010075405,0.008036156
6,1782712601.038709164,1,1,21,9.805758337,0.000891663,0.040858986,1,0.559374264,1,89,0.002536038,0.022302401,0.999748054,0.001542036,0.019614785,0.999806422,0.009836886,0.016647099,0.999813037,0.008845114,0.013962276,0.999863400,-0.006348447,0.007777666,0.999949601,-0.007336741,0.005085976,0.999960152,0.000986276,0.002688835,0.999995899,1,-0.006585694,0.007816696,0.999947763,0.529140288,0.511497758,0.162270166,0.975627243,1.057507174,1.127384768,0.947038883,0.820907544,0.951681759,0.154059177,-0.056509465,0.023127852,-0.006800958,0.012970441,-0.008939631
7,1782712601.138875961,1,1,21,9.804283180,0.002366820,0.039636006,1,0.702226381,1,84,0.004908749,0.023054531,0.999722158,0.004610512,0.024296115,0.999694174,0.002671020,0.007417005,0.999968926,0.002378267,0.008658113,0.999959690,-0.006499607,0.007630622,0.999949763,-0.006792429,0.008868444,0.999937605,0.000289686,-0.001240305,0.999999189,1,-0.006585694,0.007816696,0.999947763,0.905211163,0.640052044,0.061416597,1.099288834,0.525583741,1.417051859,0.514454968,1.141615635,0.515856995,-0.071064283,-0.016597771,0.020376962,-0.003949566,-0.005328933,-0.002341360
8,1782712601.238827705,1,1,21,9.810345067,0.003695067,0.039647910,1,0.565739587,1,72,0.001217708,0.024238654,0.999705459,0.001818169,0.020156661,0.999795181,0.003475300,0.008307263,0.999959455,0.004068264,0.004223289,0.999982806,-0.006562729,0.007555193,0.999949924,-0.005970129,0.003476058,0.999976137,-0.000590956,0.004082127,0.999991493,1,-0.006585694,0.007816696,0.999947763,0.922045700,0.395822940,0.251194111,1.054837602,0.576751349,1.159659607,0.335986566,0.855468528,0.644219504,0.233889312,0.033859280,-0.027361226,-0.016347043,0.022314673,-0.004371378
9,1782712601.338652134,1,1,21,9.807536566,0.000886566,0.040058676,1,0.807566706,1,103,0.000401325,0.022534427,0.999745987,-0.000675002,0.024387471,0.999702354,-0.014948918,0.005741636,0.999871774,-0.016021921,0.007591759,0.999842819,-0.006370296,0.007844086,0.999948944,-0.007443819,0.009696128,0.999925285,0.001071587,-0.001853692,0.999997708,1,-0.006585694,0.007816696,0.999947763,1.303609236,0.700399086,0.118384070,0.926895999,0.506085930,1.397972989,1.015881326,1.008137209,0.540845038,-0.106208860,-0.061397441,0.011882802,-0.004229289,-0.006374224,-0.003109914
