kf_id,fixed,raw_x,raw_y,raw_z,raw_roll_deg,raw_pitch_deg,raw_yaw_deg,opt_x,opt_y,opt_z,opt_roll_deg,opt_pitch_deg,opt_yaw_deg,delta_world_x,delta_world_y,delta_world_z,delta_local_x,delta_local_y,delta_local_z,delta_translation_m,delta_rotation_deg,delta_roll_deg,delta_pitch_deg,delta_yaw_deg
0,1,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0,0.518862230,0.028265026,0.004940967,-0.212262283,0.485202390,2.869457247,0.518862491,0.028259147,0.004940965,-0.212539600,0.485205915,2.869413738,0.000000261,-0.000005880,-0.000000002,-0.000000034,-0.000005885,-0.000000024,0.000005885,0.000280367,-0.000277317,0.000003524,-0.000043509
2,0,1.032030785,0.072276622,0.008075626,-0.290135169,0.913722727,3.926416288,1.032029398,0.072174531,0.008083728,-0.295300432,0.913910836,3.925185955,-0.000001387,-0.000102091,0.000008102,-0.000008503,-0.000101795,0.000007452,0.000102421,0.005293991,-0.005165263,0.000188108,-0.001230333
3,0,1.549531291,0.118618310,0.011114642,-0.338633017,0.314090890,5.723119997,1.549495522,0.116603004,0.010971416,-0.444966236,0.317999146,5.699616251,-0.000035769,-0.002015306,-0.000143226,-0.000235771,-0.002000805,-0.000156349,0.002020706,0.108843385,-0.106333219,0.003908256,-0.023503746
4,0,2.097216246,0.182950444,0.011655931,-0.342037863,0.638717984,7.471176677,2.101983187,0.152217476,0.015594837,-0.350060719,0.636332639,7.653426144,0.004766941,-0.030732969,0.003938906,0.000686389,-0.031114898,0.003761125,0.031348909,0.182530716,-0.008022856,-0.002385345,0.182249467
5,0,2.622574906,0.263083745,0.025441252,-0.304423939,0.936907598,7.518932080,2.630016552,0.194434006,0.034175310,-0.313345567,0.933435199,8.166548380,0.007441646,-0.068649739,0.008734058,-0.001748017,-0.069078519,0.008339731,0.069602072,0.647832636,-0.008921628,-0.003472399,0.647616300
6,0,3.133593369,0.290963096,0.019540359,-0.498375715,-0.120132421,4.886090804,3.142895454,0.189658444,0.033047484,-0.573411955,-0.110165528,6.153221987,0.009302085,-0.101304652,0.013507125,0.000667972,-0.101842444,0.012620387,0.102623602,1.269239459,-0.075036240,0.009966893,1.267131183
7,0,3.674852338,0.357152251,0.021095029,-0.105270930,0.318800959,6.865518987,3.682108684,0.268892179,0.038179432,-0.107644213,0.317200346,8.154903494,0.007256346,-0.088260072,0.017084403,-0.003441247,-0.088525824,0.016902897,0.090190752,1.289400856,-0.002373282,-0.001600613,1.289384506
8,0,4.171180746,0.430762362,0.034335753,-0.232052727,0.084746866,8.332961444,4.176038720,0.353450431,0.055438154,-0.232264075,0.082923917,9.627741985,0.004857973,-0.077311931,0.021102400,-0.006428985,-0.077284555,0.020780077,0.080287271,1.294782151,-0.000211348,-0.001822949,1.294780542
9,0,4.680441916,0.457350634,0.048258752,-0.238010121,0.352728780,4.573342130,4.684204756,0.391188100,0.072770792,-0.237646821,0.350874391,5.881268858,0.003762840,-0.066162535,0.024512039,-0.001675493,-0.066353121,0.024226764,0.070657484,1.307925863,0.000363300,-0.001854388,1.307926728
10,0,5.250305098,0.481401128,0.054417206,-0.074226321,0.930815200,4.178168240,5.252935491,0.427804701,0.082212909,-0.074674898,0.928911868,5.500176474,0.002630393,-0.053596427,0.027795703,-0.001732910,-0.053681563,0.027701696,0.060432583,1.322016959,-0.000448577,-0.001903332,1.322008234
11,0,5.755708788,0.491849075,0.054717258,-0.280341483,1.009859948,2.089776180,5.757676585,0.449541275,0.085886993,-0.280053711,1.008220884,3.422180583,0.001967797,-0.042307800,0.031169735,-0.000125698,-0.042503434,0.030964768,0.052586829,1.332400374,0.000287772,-0.001639064,1.332404403
12,0,6.258127963,0.522151478,0.053318554,-0.119926477,0.925268743,4.368819898,6.259076102,0.490939903,0.087737177,-0.119736238,0.922819938,5.722544937,0.000948139,-0.031211576,0.034418623,-0.001987817,-0.031265028,0.034325641,0.046472605,1.353724200,0.000190239,-0.002448806,1.353725039
13,0,6.820562145,0.551597532,0.057840299,-0.191440293,0.555995157,2.613790150,6.820351217,0.533195361,0.095534576,-0.192058954,0.553584197,3.986339969,-0.000210927,-0.018402171,0.037694277,-0.001415638,-0.018499211,0.037620713,0.041946906,1.372558067,-0.000618661,-0.002410960,1.372549820
14,0,7.381504769,0.519586356,0.060786084,0.074506460,0.573244914,-2.282868626,7.381548322,0.514189871,0.101858147,0.073434150,0.572118252,-0.897055601,0.000043553,-0.005396485,0.041072063,-0.000152456,-0.005337052,0.041079568,0.041425092,1.385824616,-0.001072310,-0.001126661,1.385813025
15,0,7.657704175,0.447887753,0.052915289,0.271495296,0.381870760,-7.702126119,7.659049356,0.448835132,0.097959953,0.272379474,0.379963081,-6.306545716,0.001345182,0.000947379,0.045044664,0.000905832,0.001332581,0.045045893,0.045074702,1.395576108,0.000884177,-0.001907679,1.395580403
16,0,8.200440660,0.411182792,0.066733266,0.172170896,0.608993317,-4.573799890,8.202205488,0.424810836,0.115070484,0.172850536,0.607381720,-3.160227514,0.001764828,0.013628044,0.048337218,0.000158663,0.013870580,0.048300173,0.050252611,1.413566244,0.000679641,-0.001611597,1.413572377
17,0,8.797500342,0.385515074,0.068149528,-0.039367925,0.636073284,-1.758143776,8.799610133,0.413204850,0.119744425,-0.039297386,0.634087849,-0.326115015,0.002109791,0.027689776,0.051594898,0.000686409,0.027706006,0.051624747,0.058593586,1.432029357,0.000070539,-0.001985435,1.432028761
18,0,9.323703583,0.402427076,0.060314119,-1.490565153,1.816608127,0.967981461,9.325059679,0.442616906,0.115181733,-1.490595359,1.814441347,2.416756525,0.001356096,0.040189829,0.054867613,0.000294504,0.038719400,0.055930651,0.068025851,1.448777642,-0.000030205,-0.002166780,1.448775064
19,0,9.842175397,0.383688174,0.051668777,-0.139212115,0.312008043,-0.135260213,9.843720574,0.436492692,0.109801191,-0.138962686,0.309487481,1.328486954,0.001545177,0.052804518,0.058132414,0.001103931,0.052666602,0.058267424,0.078549872,1.463748005,0.000249429,-0.002520562,1.463747167
20,0,10.353116699,0.420324532,0.057705461,0.619117260,0.402566469,3.676226114,10.353431934,0.485635813,0.119253153,0.619709776,0.400690010,5.153658921,0.000315236,0.065311281,0.061547692,0.004069683,0.065818249,0.060870165,0.089742861,1.477429964,0.000592516,-0.001876460,1.477432807
21,0,10.917373825,0.489614221,0.051958196,0.841800183,1.025972578,6.896609989,10.915561355,0.568955805,0.116965567,0.842066487,1.023824759,8.386212670,-0.001812469,0.079341583,0.065007371,0.006562594,0.079933562,0.063967868,0.102588158,1.489599491,0.000266304,-0.002147819,1.489602682
22,0,11.459763593,0.582001772,0.060438851,1.041192069,1.127080346,10.082539842,11.455293571,0.674832062,0.128855488,1.041136450,1.125108889,11.586377294,-0.004470022,0.092830290,0.068416637,0.010502456,0.093411215,0.066950157,0.115404853,1.503839838,-0.000055619,-0.001971457,1.503837452
23,0,11.982245352,0.702887307,0.055851246,0.942373586,1.095130625,12.737012927,11.974269040,0.808939884,0.128565328,0.942602215,1.093498846,14.252259484,-0.007976311,0.106052577,0.072714082,0.014209457,0.106387826,0.071258895,0.128833646,1.515243086,0.000228629,-0.001631779,1.515246557
24,0,12.544541172,0.857370386,0.054842652,0.557494626,0.709208096,15.482563071,12.532213376,0.977780204,0.131061499,0.556578921,0.706746154,17.009664666,-0.012327797,0.120409818,0.076218848,0.019317403,0.120069541,0.075299103,0.143037798,1.527115168,-0.000915704,-0.002461942,1.527101595
25,0,13.143663249,0.967486234,0.056693161,0.618957364,0.998510611,11.408812704,13.128026550,1.103365099,0.137263032,0.618825635,0.996552926,12.945628491,-0.015636698,0.135878865,0.080569871,0.010144415,0.137151524,0.079281944,0.158742170,1.536819333,-0.000131730,-0.001957685,1.536815788
26,0,13.685525152,1.033495979,0.053317775,0.384868643,1.135757452,9.342520464,13.667626469,1.183551123,0.137803333,0.384835862,1.133706674,10.889852434,-0.017898683,0.150055144,0.084485558,0.005022169,0.151535222,0.083585723,0.173132084,1.547333978,-0.000032782,-0.002050777,1.547331970
27,0,14.208510795,1.099511349,0.052332184,0.414932248,1.599262404,7.774913419,14.188192448,1.263324351,0.140463991,0.415518289,1.597484969,9.332289361,-0.020318347,0.163813002,0.088131807,-0.000431092,0.165689871,0.086956489,0.187122287,1.557360720,0.000586041,-0.001777435,1.557375942
28,0,14.759142135,1.157921665,0.042383901,0.165553900,1.177263019,6.664845126,14.736800433,1.336291969,0.133803447,0.164978239,1.175501121,8.231442474,-0.022341702,0.178370304,0.091419546,-0.003366783,0.180021152,0.090849876,0.201674615,1.566610263,-0.000575661,-0.001761898,1.566597348
29,0,15.273131057,1.216960859,0.029207229,0.006603612,1.231677493,7.045839626,15.248588092,1.409038105,0.124098088,0.006104318,1.229107719,8.621357313,-0.024542965,0.192077246,0.094890859,-0.002836289,0.193648196,0.094829489,0.215639283,1.575530584,-0.000499295,-0.002569773,1.575517688
30,0,15.827592970,1.303324980,0.025066196,0.433385897,1.250800909,8.871564153,15.799829864,1.510385741,0.124993498,0.433696903,1.249212682,10.455851412,-0.027763106,0.207060761,0.099927302,0.002319585,0.209615655,0.098419060,0.231582414,1.584281301,0.000311006,-0.001588227,1.584287259
31,0,16.375129989,1.397695633,0.026806158,1.105880463,0.990396286,10.864971157,16.344009229,1.619631148,0.130431064,1.105776094,0.988630403,12.456107491,-0.031120760,0.221935515,0.103624906,0.009478035,0.225784977,0.099465104,0.246904831,1.591139120,-0.000104368,-0.001765883,1.591136334
32,0,16.936653394,1.487473786,0.033126115,0.308038099,1.507032230,9.283861310,16.902442109,1.724770910,0.140026857,0.307998245,1.504563859,10.882545872,-0.034211285,0.237297124,0.106900741,0.001705987,0.240279681,0.105692336,0.262503534,1.598687515,-0.000039854,-0.002468372,1.598684562
33,0,17.508497225,1.554679800,0.026031765,-0.125191306,1.446529130,9.297350908,17.471693733,1.807669875,0.136665112,-0.125796573,1.445433994,10.902456597,-0.036803492,0.252990075,0.110633347,0.001758327,0.255369979,0.111271265,0.278564557,1.605121450,-0.000605267,-0.001095136,1.605105689
34,0,17.790299136,1.534090444,0.028188318,0.229356482,1.254564565,2.635820226,17.753630158,1.794718970,0.142066427,0.229638193,1.251994940,4.250783596,-0.036668977,0.260628526,0.113878108,-0.027131924,0.262490587,0.112261375,0.286775288,1.614959277,0.000281711,-0.002569626,1.614963370
35,0,18.515106061,1.605436721,0.010667024,-0.233166608,2.267120351,5.576511734,18.475790085,1.886259889,0.127847430,-0.233585676,2.264821525,7.200708538,-0.039315976,0.280823167,0.117180406,-0.016467142,0.282837714,0.117772263,0.306820216,1.624215053,-0.000419068,-0.002298827,1.624196804
36,0,19.098729068,1.688319217,-0.001032885,0.017856423,1.479930111,8.684216095,19.056400829,1.985472830,0.119701896,0.017640834,1.477665591,10.315904071,-0.042328239,0.297153612,0.120734781,-0.000095388,0.300175602,0.120679058,0.323525635,1.631695126,-0.000215589,-0.002264520,1.631687976
37,0,19.680382712,1.737389598,0.002725768,0.224928885,1.429973280,6.647181429,19.635879554,2.050995832,0.127386705,0.225257086,1.428254586,8.285774104,-0.044503158,0.313606234,0.124660937,-0.011010941,0.317135593,0.123180864,0.340396461,1.638585424,0.000328201,-0.001718694,1.638592675
38,0,20.242894430,1.811817968,-0.007619464,0.354152377,1.577080502,7.973754380,20.195344146,2.141264531,0.120678125,0.353365631,1.574979757,9.618044702,-0.047550284,0.329446563,0.128297590,-0.004920352,0.333643654,0.126150869,0.356730065,1.644313490,-0.000786746,-0.002100745,1.644290322
39,0,20.800396920,1.901157508,-0.018004776,0.158640829,1.356824867,10.152891488,20.749378822,2.246357151,0.114341664,0.158852634,1.354641945,11.801650136,-0.051018098,0.345199644,0.132346440,0.007494240,0.349153057,0.131594832,0.373203993,1.648755095,0.000211805,-0.002182922,1.648758648
40,0,21.498273961,2.055347163,-0.014765755,0.446898897,1.568350080,12.671566930,21.441867575,2.420348872,0.120935911,0.447942648,1.566442723,14.328358305,-0.056406387,0.365001709,0.135701667,0.021311545,0.369537157,0.133457777,0.393475375,1.656764252,0.001043751,-0.001907358,1.656791375
41,0,22.050871748,2.191973007,-0.025491121,-0.323325767,1.778289171,14.717397268,21.989486368,2.572591181,0.113541842,-0.323613500,1.776563951,16.383232178,-0.061385380,0.380618174,0.139032964,0.032992853,0.382928557,0.142287441,0.409839632,1.665844753,-0.000287733,-0.001725220,1.665834910
42,0,22.623101313,2.266156380,-0.035072260,-0.849664481,1.903973222,9.156741985,22.558634414,2.662921888,0.107290036,-0.850496808,1.902748184,10.831937624,-0.064466899,0.396765508,0.142362296,-0.005235392,0.399814539,0.148212002,0.426433902,1.675223938,-0.000832327,-0.001225038,1.675195639
43,0,22.892846566,2.243718015,-0.033987048,-0.745283989,1.882291216,2.832515707,22.828208998,2.648093724,0.111674285,-0.745629769,1.879794238,4.518240211,-0.064637568,0.404375709,0.145661333,-0.049336108,0.405166802,0.149401352,0.434643478,1.685737738,-0.000345780,-0.002496979,1.685724504
44,0,23.460476384,2.280895488,-0.051473463,-0.876120773,1.782749169,3.781200426,23.393872578,2.701761284,0.097731380,-0.875920916,1.780741747,5.472404091,-0.066603806,0.420865796,0.149204843,-0.043327195,0.422030402,0.154399690,0.451471118,1.691198654,0.000199856,-0.002007421,1.691203665
45,0,23.996671661,2.349785466,-0.056865857,-1.120647196,0.236999172,7.002105997,23.927035654,2.786199423,0.096449709,-1.120579032,0.235098651,8.702148297,-0.069636008,0.436413957,0.153315567,-0.016549274,0.438566407,0.161856748,0.467773426,1.700043084,0.000068164,-0.001900522,1.700042301
46,0,24.565589696,2.354408920,-0.060909522,-1.006016307,1.697446023,2.812996466,24.495115466,2.807371596,0.095703948,-1.005837337,1.694906010,4.522009236,-0.070474230,0.452962676,0.156613469,-0.052777588,0.453081745,0.163098252,0.484427065,1.709009369,0.000178969,-0.002540014,1.709012770
47,0,25.138286359,2.397046328,-0.076860636,-0.147738578,2.000398197,5.649434450,25.065716769,2.866740146,0.083073752,-0.147755732,1.998253674,7.368564413,-0.072569589,0.469693817,0.159934389,-0.031546632,0.474144917,0.160153188,0.501455517,1.719131898,-0.000017153,-0.002144523,1.719129962
48,0,25.713884873,2.490772280,-0.080962750,-0.673217468,1.495789100,8.482731359,25.637509490,2.977346783,0.082554001,-0.674259204,1.494330624,10.211894485,-0.076375384,0.486574503,0.163516750,-0.008031691,0.490564347,0.169138367,0.518965966,1.729191234,-0.001041736,-0.001458476,1.729163126
49,0,26.143828008,2.474677682,-0.088475030,-0.348221218,1.685518894,2.943261153,26.066968663,2.974096700,0.079863691,-0.346907516,1.683607068,4.678257369,-0.076859345,0.499419018,0.168338720,-0.056043619,0.501683923,0.169814584,0.532601764,1.734959147,0.001313702,-0.001911825,1.734996215
50,0,26.704071760,2.508820522,-0.086011361,0.005439687,1.263883459,3.859806117,26.625604968,3.024928661,0.085595495,0.005075754,1.261719569,5.606965037,-0.078466792,0.516108139,0.171606856,-0.047321354,0.520235692,0.170555197,0.549521211,1.747168318,-0.000363934,-0.002163890,1.747158920
51,0,27.265892020,2.572295262,-0.098109412,-0.544556412,1.313347247,6.241702217,27.184912973,3.105257609,0.076777485,-0.544632659,1.311432704,7.997657004,-0.080979048,0.532962347,0.174886897,-0.026556316,0.536926145,0.179435151,0.566737943,1.755957579,-0.000076247,-0.001914543,1.755954787
52,0,27.812895385,2.595164034,-0.119753276,-0.829377165,1.264743762,4.940251052,27.730725240,3.144637753,0.058405983,-0.829310134,1.262979904,6.706932414,-0.082170145,0.549473719,0.178159258,-0.038469883,0.551883424,0.185361205,0.583450102,1.766680765,0.000067031,-0.001763857,1.766681362
53,0,28.347848042,2.582490300,-0.122275385,-0.302822999,1.499253299,1.446431265,28.265637544,3.148267189,0.059144465,-0.302597879,1.497258744,3.221333910,-0.082210499,0.565776889,0.181419850,-0.072626199,0.566714737,0.182578911,0.599812651,1.774897894,0.000225120,-0.001994555,1.774902645
54,0,28.915571549,2.619274026,-0.124125674,-0.072306026,1.730094632,4.250825177,28.831699833,3.202402509,0.060553904,-0.071749984,1.727728657,6.035898600,-0.083871715,0.583128483,0.184679578,-0.045975132,0.587509292,0.184116695,0.617397634,1.785058302,0.000556042,-0.002365975,1.785073423
55,0,29.482452672,2.686762857,-0.136313018,0.055557188,1.823535508,7.131950479,29.396178434,3.287137471,0.051641244,0.055382687,1.821211823,8.929198664,-0.086274238,0.600374614,0.187954262,-0.017042668,0.606622325,0.186918773,0.634995847,1.797255245,-0.000174501,-0.002323684,1.797248185
56,0,30.033467188,2.737927789,-0.142552971,-0.027909797,1.460965367,5.006473657,29.945187616,3.355302061,0.048676027,-0.027929737,1.459092301,6.813348489,-0.088279572,0.617374272,0.191228997,-0.038930049,0.622630130,0.190601618,0.652313425,1.806876311,-0.000019940,-0.001873066,1.806874832
57,0,30.593370277,2.799882567,-0.152130594,0.009463686,2.109155633,7.425782158,30.502755389,3.434586697,0.042364820,0.009655365,2.106942093,9.242241490,-0.090614888,0.634704130,0.194495414,-0.014977385,0.641124214,0.193969783,0.669991684,1.816453640,0.000191679,-0.002213540,1.816459332
58,0,31.149012316,2.891005697,-0.169473264,-0.247524255,2.298877532,9.321664975,31.055234973,3.542978170,0.028294172,-0.247916083,2.296965684,11.146924496,-0.093777342,0.651972473,0.197767436,0.005122147,0.657690549,0.200975522,0.687731237,1.825276274,-0.000391828,-0.001911848,1.825259520
59,0,31.741118319,2.917040919,-0.180467801,-0.642233309,2.097838917,5.140820019,31.646016693,3.587597954,0.020573291,-0.642172424,2.096033362,6.977766756,-0.095101626,0.670557034,0.201041093,-0.041970655,0.674100972,0.207207432,0.706476168,1.836945398,0.000060885,-0.001805555,1.836946737
60,0,32.340653830,2.955478950,-0.190234014,-0.222632071,2.207445917,4.602721419,32.243794216,3.645017735,0.014067177,-0.222444653,2.204622109,6.450039149,-0.096859614,0.689538785,0.204301190,-0.049052955,0.694295359,0.205261443,0.725661421,1.847312683,0.000187418,-0.002823808,1.847317729
61,0,32.907999928,3.018919575,-0.199501288,0.153837062,0.917024358,7.016910853,32.808597043,3.726495874,0.008089094,0.154140260,0.914651910,8.873739984,-0.099402885,0.707576299,0.207590382,-0.015540028,0.714974134,0.205449296,0.744069162,1.856825826,0.000303198,-0.002372448,1.856829132
62,0,33.647493087,3.107410990,-0.206388496,-0.048577092,1.792406256,7.896104852,33.544699484,3.838625542,0.004480927,-0.048647387,1.790082986,9.764166651,-0.102793603,0.731214552,0.210869422,-0.007961749,0.738224339,0.211349461,0.767923928,1.868065442,-0.000070295,-0.002323270,1.868061799
63,0,34.213384780,3.152610920,-0.222971569,0.129340860,1.667182683,5.717363238,34.108572737,3.901824802,-0.008803230,0.129489799,1.664902898,7.600941122,-0.104812043,0.749213882,0.214168339,-0.035871394,0.756407764,0.211507971,0.786241110,1.883574939,0.000148939,-0.002279784,1.883577884
64,0,34.797890690,3.233049628,-0.226592285,0.071203065,2.017760617,7.405943347,34.689880143,4.001113894,-0.009119080,0.071736002,2.015573146,9.297060516,-0.108010547,0.768064266,0.217473205,-0.015759247,0.775848450,0.216088913,0.805533109,1.891099755,0.000532937,-0.002187471,1.891117169
65,0,35.347223235,3.324071340,-0.248996474,-0.391457327,1.875251234,10.454763857,35.235649913,4.109857917,-0.028218096,-0.392447038,1.873801184,12.354284817,-0.111573322,0.785786577,0.220778378,0.025624909,0.791453884,0.227148311,0.823803522,1.899554146,-0.000989710,-0.001450050,1.899520961
66,0,35.796869316,3.323390302,-0.239522767,-0.592321515,1.968079987,3.879520621,35.684869019,4.123905929,-0.015486126,-0.592212861,1.965357772,5.786174310,-0.112000297,0.800515627,0.224036641,-0.065241881,0.803921744,0.230250035,0.838785880,1.906651906,0.000108654,-0.002722215,1.906653689
67,0,36.358674702,3.391012737,-0.251938595,-1.052423748,1.711576130,6.762274521,36.243955714,4.209818156,-0.024571163,-1.052308761,1.709413302,8.673826956,-0.114718988,0.818805419,0.227367432,-0.024289709,0.822313290,0.241887524,0.857495604,1.911550229,0.000114987,-0.002162828,1.911552435
68,0,36.939662220,3.452701845,-0.259089101,-0.513150868,1.527307455,7.488739269,36.822457795,4.290724639,-0.028448825,-0.513797755,1.524944687,9.404256847,-0.117204425,0.838022794,0.230640276,-0.013128964,0.844053122,0.237941115,0.877048469,1.915536373,-0.000646887,-0.002362768,1.915517578
69,0,37.524059087,3.486090542,-0.267182285,-0.311282549,1.247856857,5.022442093,37.405322273,4.343416155,-0.033119598,-0.311026477,1.245420789,6.943262482,-0.118736815,0.857325613,0.234062687,-0.048312598,0.863149847,0.237758731,0.896599676,1.920816380,0.000256072,-0.002436068,1.920820390
70,0,38.088799997,3.555715667,-0.263131731,-0.586811700,1.320124611,6.913465656,37.967351627,4.431493537,-0.025681969,-0.586742284,1.317801715,8.842566636,-0.121448370,0.875777870,0.237449762,-0.020614273,0.881554904,0.246079209,0.915488380,1.929100782,0.000069416,-0.002322895,1.929100981
71,0,38.658210392,3.586125966,-0.270097999,-0.036878014,1.288024127,5.388685687,38.535343633,4.480730507,-0.029212735,-0.037000543,1.285523267,7.322058783,-0.122866760,0.894604542,0.240885264,-0.043714934,0.902034853,0.240543893,0.934579711,1.933377469,-0.000122529,-0.002500860,1.933373096
72,0,39.237011605,3.644321873,-0.297667584,0.281858208,3.025188471,7.022085886,39.111697851,4.558008599,-0.053286222,0.281910158,3.023506051,8.963611538,-0.125313754,0.913686726,0.244381363,-0.025553378,0.923339172,0.238832616,0.954069819,1.941523641,0.000051950,-0.001682419,1.941525652
