from_kf,to_kf,measurement_translation_m,measurement_yaw_deg,before_translation_m,before_yaw_deg,after_translation_m,after_yaw_deg,deformation_local_x,deformation_local_y,deformation_local_z,deformation_translation_m,deformation_rotation_deg,deformation_yaw_deg,correction_gradient_world_x,correction_gradient_world_y,correction_gradient_world_z,correction_gradient_world_norm,after_measurement_error_translation_m,after_measurement_error_rotation_deg
0,1,0.519655019,2.869457247,0.519655019,2.869457247,0.519654960,2.869413738,-0.000000034,-0.000005885,-0.000000024,0.000005885,0.000280367,-0.000043509,0.000000261,-0.000005880,-0.000000002,0.000005885,0.000005885,0.000280367
1,2,0.515061951,1.058434536,0.515061951,1.058434536,0.515052146,1.057250548,-0.000008369,-0.000095557,0.000007607,0.000096224,0.005014379,-0.001183988,-0.000001648,-0.000096211,0.000008104,0.000096566,0.000096224,0.005014379
2,3,0.519580177,1.793719204,0.519580177,1.793719204,0.519377913,1.771407590,-0.000224049,-0.001889186,-0.000161219,0.001909244,0.103552033,-0.022311615,-0.000034382,-0.001913216,-0.000151328,0.001919499,0.001909244,0.103552033
3,4,0.551450566,1.749864219,0.551450566,1.749864219,0.553653670,1.956132893,0.000996253,-0.028909882,0.003922648,0.029191796,0.227713850,0.206268675,0.004802710,-0.028717663,0.004082132,0.029401258,0.029191796,0.227713850
4,5,0.531613678,0.049528919,0.531613678,0.049528919,0.530044058,0.514866764,-0.002476110,-0.039651323,0.004518676,0.039984709,0.465425382,0.465337844,0.002674705,-0.037916770,0.004795152,0.038312256,0.039984709,0.465425382
5,6,0.511812415,-2.638851632,0.511812415,-2.638851632,0.512902375,-2.019327633,-0.001498154,-0.038503754,0.004398666,0.038783138,0.622906669,0.619523998,0.001860439,-0.032654913,0.004773067,0.033054300,0.038783138,0.622906669
6,7,0.545293218,1.983195886,0.545293218,1.983195886,0.545027733,2.005880107,-0.000312481,0.001131980,0.003699891,0.003881780,0.076983202,0.022684221,-0.002045739,0.013044580,0.003577278,0.013680023,0.003881780,0.076983202
7,8,0.501931922,1.467020908,0.501931922,1.467020908,0.501412845,1.472406849,-0.000646813,-0.000112854,0.004003192,0.004056680,0.005823115,0.005385940,-0.002398373,0.010948141,0.004017998,0.011906229,0.004056680,0.005823115
8,9,0.510144808,-3.758474702,0.510144808,-3.758474702,0.509860052,-3.745328551,-0.000418636,-0.000326239,0.003389483,0.003430784,0.013151533,0.013146151,-0.001095133,0.011149396,0.003409639,0.011710422,0.003430784,0.013151533
9,10,0.570403716,-0.392736987,0.570403716,-0.392736987,0.569986472,-0.378660824,-0.000527292,-0.000395675,0.003256725,0.003322778,0.014115203,0.014076163,-0.001132447,0.012566108,0.003283664,0.013037329,0.003322778,0.014115203
