from_kf,to_kf,info_tx,info_ty,info_tz,info_rx,info_ry,info_rz,direct_world_x,direct_world_y,direct_world_z,effective_world_x,effective_world_y,effective_world_z,relative_world_x,relative_world_y,relative_world_z,weak_eigenvalue,weak_axis_world_z_alignment
0,1,0.565659778,0.995947774,1.000000000,19.522040034,10.395494009,14.756506599,0.570080175,0.992556818,0.998970559,0.443631639,0.469838912,0.603579787,0.735000821,0.778420555,1.000000000,0.234857805,0.604407858
1,2,0.481189494,1.000000000,0.909272758,20.060048295,7.974452852,12.188615901,0.480294574,1.002958761,0.907208917,0.380461781,0.505301231,0.530509536,0.717162945,0.952482844,1.000000000,0.205430350,0.585855832
2,3,0.524305711,0.895655917,1.000000000,17.608320818,10.027176020,15.157941422,0.523166556,0.897499127,0.999295945,0.415313409,0.500839751,0.640008955,0.648918121,0.782551161,1.000000000,0.263988749,0.523296951
3,4,0.588124351,0.911329767,1.000000000,16.832734622,11.441895813,16.098256826,0.577893226,0.922960447,0.998600445,0.452655628,0.496628453,0.721587824,0.627304970,0.688243948,1.000000000,0.298905118,0.517274944
4,5,0.514153346,0.810230276,1.000000000,15.473907405,8.903407376,15.616846362,0.510671437,0.815964551,0.997747634,0.390873061,0.453963077,0.720596023,0.542430223,0.629982767,1.000000000,0.263951094,0.464092506
5,6,0.657953715,1.000000000,0.843965002,16.389005040,10.234772738,18.466741556,0.646015466,1.011636709,0.844266542,0.511244577,0.537982201,0.622481826,0.821300408,0.864253669,1.000000000,0.297019296,0.631885391
6,7,0.658676310,1.000000000,0.914779028,14.790073989,10.162844749,18.903621580,0.649885600,1.009626759,0.913942979,0.520402724,0.531771287,0.651935814,0.798242270,0.815680433,1.000000000,0.325692343,0.611146470
7,8,0.660410192,1.000000000,0.825042487,13.244036648,9.293643688,16.315995352,0.640806299,1.020127046,0.824519334,0.487233168,0.531871307,0.605748602,0.804348812,0.878039677,1.000000000,0.283396677,0.620699652
8,9,0.766665180,1.000000000,0.961754096,12.925432479,10.453409726,16.802239925,0.759939724,1.007826362,0.960653190,0.560228621,0.483606635,0.680537208,0.823215269,0.710624827,1.000000000,0.320382882,0.632212698
9,10,0.572496702,0.869693578,1.000000000,12.007853783,8.035016641,14.065584905,0.571365475,0.872994586,0.997830219,0.442833189,0.467404637,0.658377916,0.672612459,0.709933650,1.000000000,0.271275660,0.530903760
10,11,0.681189012,1.000000000,0.971869636,12.385181989,8.788795336,16.041171958,0.680623843,1.002851167,0.969583639,0.507260614,0.504425931,0.661195258,0.767187314,0.762900105,1.000000000,0.314776361,0.589175034
11,12,0.590782875,0.787236801,1.000000000,11.117859535,8.425139002,12.065373289,0.584368282,0.794638067,0.999013327,0.436196841,0.389779557,0.682093653,0.639496994,0.571445805,1.000000000,0.288009401,0.495274695
12,13,0.650381180,0.843649109,1.000000000,10.914978926,8.814143416,12.688332431,0.645876887,0.849293040,0.998860363,0.497266749,0.406599841,0.631227126,0.787777852,0.644141901,1.000000000,0.285506792,0.608499551
13,14,0.769094782,1.000000000,0.981747404,14.656902813,10.676112012,17.881360504,0.772238839,0.998096719,0.980506627,0.595097948,0.476946413,0.641428630,0.927769544,0.743568951,1.000000000,0.316270869,0.677472228
14,15,0.702285407,1.000000000,0.820512750,13.827408607,10.055364831,18.282764261,0.704978450,0.997451259,0.820368448,0.519831184,0.508117586,0.557492617,0.932444966,0.911433750,1.000000000,0.291318656,0.686843900
15,16,0.686225650,0.893784764,1.000000000,14.318157389,10.842630665,15.510516333,0.688216577,0.892668378,0.999125459,0.551306039,0.422691409,0.647133240,0.851920447,0.653175239,1.000000000,0.319819117,0.623040465
16,17,0.573480064,0.685600315,1.000000000,11.999729016,8.174235722,14.636782561,0.575057000,0.684377743,0.999645637,0.426600523,0.289439037,0.625779850,0.681710226,0.462525338,1.000000000,0.260449355,0.497062370
17,18,0.549509563,0.687191860,1.000000000,11.976763121,9.009912414,14.737333374,0.549298634,0.690541810,0.996860978,0.406494157,0.310475896,0.641177977,0.633980223,0.484227323,1.000000000,0.265107787,0.467801080
18,19,0.655501699,0.842282662,1.000000000,15.191602715,10.086043745,17.921449417,0.656008903,0.842239531,0.999535927,0.506645552,0.387131294,0.639592093,0.792138547,0.605278423,1.000000000,0.314829475,0.612814944
19,20,0.835931214,1.000000000,0.962200284,16.812619583,11.188648700,21.303872278,0.829316342,1.006154400,0.962660755,0.670020209,0.392588747,0.565106534,1.000000000,0.585935681,0.843417148,0.319101815,0.753244582
20,21,0.764643545,1.000000000,0.947146970,16.808106407,9.923357838,20.143696462,0.746113704,1.018945396,0.946731415,0.596169298,0.414590521,0.576533466,1.000000000,0.695424139,0.967063328,0.290414191,0.719194569
21,22,0.775442844,1.000000000,0.962610576,18.261809595,10.532541506,18.993163664,0.737517707,1.037054712,0.963481002,0.578349209,0.429688869,0.547353329,1.000000000,0.742957477,0.946406289,0.284301272,0.739485262
22,23,0.677000002,1.000000000,0.761775723,17.853201064,8.635303858,20.626280770,0.633666552,1.043388760,0.761720412,0.498965134,0.458001920,0.447869287,1.000000000,0.917903656,0.897596358,0.244870283,0.754071927
23,24,0.693818804,1.000000000,0.935454525,16.908638381,8.948642236,22.813997419,0.624692057,1.069257591,0.935323681,0.514324586,0.479168190,0.612933442,0.839119798,0.781762189,1.000000000,0.328007854,0.673401191
24,25,0.607374357,1.000000000,0.757340390,17.275179657,7.977450247,21.531491233,0.584390167,1.022919671,0.757404910,0.479741061,0.479039937,0.475541922,1.000000000,0.998538536,0.991247072,0.272613646,0.711224917
25,26,0.588678160,1.000000000,0.838255820,18.230929040,8.084966443,20.908909073,0.575391534,1.014681416,0.836861030,0.471312926,0.498139294,0.513716216,0.917457755,0.969677963,1.000000000,0.263253307,0.668280751
26,27,0.589598392,1.000000000,0.907145027,19.682780449,8.293565183,19.854592725,0.592120133,1.000722903,0.903900383,0.506562733,0.530148555,0.522784817,0.955510919,1.000000000,0.986110048,0.270258549,0.676253276
27,28,0.620354044,0.889806851,1.000000000,17.461659270,9.237180477,20.915939849,0.617745546,0.893941489,0.998473861,0.513150781,0.450707912,0.626751344,0.818746997,0.719117584,1.000000000,0.318351019,0.601663168
28,29,0.595176291,1.000000000,0.946244135,18.949512760,8.315409646,21.146548431,0.600387468,0.997452172,0.943580786,0.481730310,0.532242446,0.631273849,0.763108295,0.843124497,1.000000000,0.295817169,0.572966803
29,30,0.515589847,1.000000000,0.659797367,16.624067908,7.705981709,20.700913867,0.509654957,1.008448289,0.657283968,0.419370397,0.538406509,0.449690100,0.778910340,1.000000000,0.835224116,0.243576944,0.674447566
30,31,0.534871276,1.000000000,0.891655461,15.999706880,8.030575159,19.483675618,0.534436997,1.002559192,0.889530548,0.425188347,0.544240289,0.612480788,0.694206832,0.888583445,1.000000000,0.263853330,0.540659174
31,32,0.536413656,0.942449456,1.000000000,16.241984731,8.292333312,18.206485653,0.543155266,0.938396620,0.997311225,0.424633526,0.513337922,0.718821390,0.590735796,0.714138351,1.000000000,0.297879559,0.449629257
32,33,0.555227059,1.000000000,0.890885938,15.770596753,8.502811606,19.892206212,0.555715236,1.002918093,0.887479669,0.448637763,0.563576499,0.620474876,0.723055486,0.908298662,1.000000000,0.295305664,0.549265977
33,34,0.575878784,0.960999054,1.000000000,17.307408921,9.823506542,17.202510325,0.580249730,0.958507659,0.998120449,0.469617401,0.535488251,0.675367772,0.695350622,0.792883926,1.000000000,0.317943035,0.496298009
34,35,0.560053422,0.941849513,1.000000000,16.502729680,8.852888139,17.869461593,0.566630008,0.938617474,0.996655453,0.452244543,0.519505772,0.660841599,0.684346361,0.786127527,1.000000000,0.303211972,0.522464311
35,36,0.545347634,1.000000000,0.927256937,17.215241069,8.130948405,20.111185166,0.553584973,0.994590135,0.924429463,0.427773367,0.548037505,0.607710989,0.703909217,0.901806145,1.000000000,0.259256715,0.553631374
36,37,0.543890411,1.000000000,0.843659599,18.122157540,8.442398726,20.421253506,0.547315319,0.999736038,0.840498654,0.420106825,0.570401446,0.567885514,0.736510800,1.000000000,0.995589190,0.258208420,0.577446675
37,38,0.467960869,1.000000000,0.912858156,17.646404562,7.176861109,19.109897185,0.469920211,1.002343138,0.908555676,0.361302835,0.604638562,0.637612809,0.566649274,0.948284842,1.000000000,0.228290368,0.482427121
38,39,0.478799199,1.000000000,0.822614841,18.375354889,7.379057308,19.826196997,0.482281526,1.000063448,0.819069066,0.366518915,0.633722260,0.591658868,0.578358909,1.000000000,0.933624880,0.236849288,0.497420786
39,40,0.532557710,0.992801496,1.000000000,17.993584046,7.631172258,19.955683847,0.528090060,1.002140388,0.995128758,0.398602511,0.626619642,0.755093040,0.527885293,0.829857526,1.000000000,0.272388912,0.447762750
40,41,0.400623121,0.812931411,1.000000000,15.768853991,6.294294208,14.794606260,0.402108752,0.816317929,0.995127851,0.305350799,0.517231445,0.782440363,0.390254406,0.661049033,1.000000000,0.224292573,0.313282126
41,42,0.350746213,0.735165300,1.000000000,14.219012064,6.378705420,14.434662916,0.355306027,0.736058955,0.994546531,0.240877187,0.436501798,0.846681767,0.284495540,0.515544110,1.000000000,0.194005818,0.236487014
42,43,0.411074844,0.794594773,1.000000000,15.471832230,6.673908031,14.753467846,0.416539205,0.794263763,0.994866650,0.296950628,0.506145104,0.799473473,0.371432747,0.633098059,1.000000000,0.232435424,0.298605928
43,44,0.486904283,1.000000000,0.943055572,18.535387609,8.113759553,20.051564922,0.493096774,0.999358532,0.937504550,0.372252934,0.637425769,0.734054090,0.507119216,0.868363486,1.000000000,0.276608981,0.411109061
44,45,0.489078671,1.000000000,0.809051404,17.571009069,8.452408074,20.424055754,0.487715428,1.002723739,0.807690907,0.374676039,0.647545731,0.670666479,0.558662243,0.965525715,1.000000000,0.284703866,0.430669129
45,46,0.457436191,0.889065530,1.000000000,18.151841463,7.706581370,17.898278262,0.459141655,0.891997263,0.995362802,0.342146009,0.577723757,0.795229675,0.430248039,0.726486668,1.000000000,0.275284670,0.336397340
46,47,0.436219474,0.879854320,1.000000000,20.116571538,7.040348585,17.498870238,0.438831334,0.881394371,0.995848090,0.336222744,0.569376833,0.719498168,0.467301737,0.791352720,1.000000000,0.241051899,0.393106267
47,48,0.415507440,1.000000000,0.928549854,19.140157236,7.047854098,17.985223880,0.419455463,1.000091970,0.924509861,0.293742234,0.619636737,0.701500216,0.418734346,0.883302276,1.000000000,0.194713863,0.374383102
48,49,0.381172719,1.000000000,0.687154928,16.629617010,5.632917608,17.851993689,0.383489723,1.000961249,0.683876674,0.252448096,0.635355519,0.508713104,0.397333601,1.000000000,0.800674723,0.169906620,0.439683309
49,50,0.391947990,0.913946980,1.000000000,17.722758280,7.382547699,16.310059156,0.387424692,0.919230941,0.999239337,0.280859294,0.585004523,0.740201820,0.379436103,0.790331106,1.000000000,0.228238276,0.303266223
50,51,0.382004137,0.882580703,1.000000000,18.864819921,7.582155257,16.642762983,0.372353586,0.893928181,0.998303073,0.273786930,0.615747297,0.717973890,0.381332711,0.857617952,1.000000000,0.224423251,0.301943935
51,52,0.385006403,0.872032543,1.000000000,18.280619959,8.079538381,16.027810647,0.378146446,0.880180502,0.998711998,0.269411852,0.568980917,0.768782528,0.350439613,0.740106463,1.000000000,0.223618154,0.278987491
52,53,0.378083833,0.915411736,1.000000000,18.220886819,7.826439252,16.990893653,0.376797618,0.917489967,0.999207984,0.255556683,0.587926087,0.805834648,0.317132906,0.729586509,1.000000000,0.213046827,0.258804798
53,54,0.312367556,0.741563138,1.000000000,16.909336062,6.530928833,13.442893344,0.308691221,0.745853154,0.999386319,0.223231592,0.519692025,0.800339217,0.278921222,0.649339698,1.000000000,0.193857603,0.214352827
54,55,0.336450947,0.758500226,1.000000000,17.026412793,8.132816243,13.751836002,0.321760515,0.772649797,1.000540862,0.232933230,0.505017898,0.788509071,0.295409702,0.640471893,1.000000000,0.208193387,0.202124371
55,56,0.341084639,0.809804844,1.000000000,17.032306989,9.297114766,14.164170038,0.337357730,0.813959190,0.999572562,0.257381158,0.553756381,0.778736210,0.330511352,0.711096228,1.000000000,0.221055600,0.247519489
56,57,0.355007932,0.885802956,1.000000000,18.511537894,9.402977666,15.515835032,0.340901516,0.900122443,0.999786928,0.254619106,0.628136525,0.818202336,0.311193326,0.767703168,1.000000000,0.228425678,0.206314708
57,58,0.358403480,0.815154761,1.000000000,16.158790898,9.850381631,15.543897288,0.332973239,0.840766709,0.999818293,0.237158599,0.513226847,0.800273937,0.296346773,0.641313959,1.000000000,0.203795683,0.222384824
58,59,0.309452516,0.763543031,1.000000000,14.725101989,7.245880574,15.330910300,0.301141015,0.772596017,0.999258515,0.216935747,0.500311820,0.789070694,0.274925616,0.634051960,1.000000000,0.184284856,0.221707351
59,60,0.311609122,0.767790032,1.000000000,15.579873541,8.082755152,14.047181580,0.302970229,0.777411862,0.999017063,0.209987293,0.511837395,0.885243068,0.237208627,0.578188538,1.000000000,0.188870814,0.166468041
60,61,0.393432757,0.824210676,1.000000000,16.364547774,8.662506094,16.859583048,0.371387869,0.846935692,0.999319872,0.291084312,0.546847259,0.786174709,0.370253976,0.695579816,1.000000000,0.243136864,0.268293328
61,62,0.325822597,0.696732815,1.000000000,13.575402680,7.589154894,11.804360333,0.306470040,0.716927999,0.999157373,0.228025517,0.464093075,0.822372536,0.277277641,0.564334356,1.000000000,0.197789859,0.203997520
62,63,0.407936035,0.665542109,1.000000000,13.550023732,8.986476281,12.505613366,0.394188841,0.681274221,0.998015082,0.297984373,0.421465275,0.838463031,0.355393573,0.502664112,1.000000000,0.246952916,0.243940881
63,64,0.518264570,0.983538307,1.000000000,17.101327172,12.756573858,18.141582607,0.497515635,1.007521165,0.996766078,0.325550580,0.619792055,0.881499299,0.369314621,0.703111228,1.000000000,0.268407922,0.286306871
64,65,0.402747353,0.711669895,1.000000000,13.040867580,10.895526572,12.689273989,0.371192158,0.746282112,0.996942978,0.273836809,0.463861943,0.817944060,0.334786720,0.567107173,1.000000000,0.230510056,0.265623892
65,66,0.491224609,0.869535813,1.000000000,14.605242511,9.657620115,13.761970886,0.480542044,0.883327544,0.996890833,0.351229229,0.551804535,0.841486667,0.417391317,0.655749588,1.000000000,0.288988031,0.292827542
66,67,0.647102717,0.926918125,1.000000000,18.389894075,13.448855724,17.496258257,0.617169507,0.963240914,0.993610421,0.486498332,0.578801165,0.808511021,0.601721336,0.715885312,1.000000000,0.392543047,0.390886871
67,68,0.734594370,0.951388383,1.000000000,16.453154789,13.391526829,17.456777524,0.696248747,0.991811898,0.997922108,0.510184471,0.605462410,0.806578632,0.632529119,0.750655158,1.000000000,0.392355109,0.438438625
68,69,0.663459519,1.000000000,0.957997916,18.051333845,12.737241312,18.233621825,0.651526679,1.013637182,0.956293574,0.482212879,0.603668415,0.741377017,0.650428686,0.814252939,1.000000000,0.359240622,0.485642495
