kf_id,fixed,raw_x,raw_y,raw_z,raw_roll_deg,raw_pitch_deg,raw_yaw_deg,opt_x,opt_y,opt_z,opt_roll_deg,opt_pitch_deg,opt_yaw_deg,delta_world_x,delta_world_y,delta_world_z,delta_local_x,delta_local_y,delta_local_z,delta_translation_m,delta_rotation_deg,delta_roll_deg,delta_pitch_deg,delta_yaw_deg
0,1,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0,0.518862230,0.028265026,0.004940967,-0.212262283,0.485202390,2.869457247,0.518862480,0.028260050,0.004940936,-0.212496957,0.485203816,2.869420505,0.000000250,-0.000004977,-0.000000031,0.000000001,-0.000004983,-0.000000049,0.000004983,0.000237230,-0.000234674,0.000001425,-0.000036742
2,0,1.032108761,0.072265826,0.007961709,-0.290509752,0.912066263,3.925529829,1.032109816,0.072179264,0.007966171,-0.294891214,0.912101817,3.924488249,0.000001055,-0.000086562,0.000004462,-0.000004944,-0.000086452,0.000003946,0.000086683,0.004487546,-0.004381462,0.000035554,-0.001041580
3,0,1.549528487,0.118597996,0.011096614,-0.338584766,0.314223229,5.724157406,1.549608000,0.116883272,0.010868904,-0.429162641,0.311532842,5.704365821,0.000079514,-0.001714724,-0.000227709,-0.000090658,-0.001712726,-0.000238335,0.001731604,0.092648355,-0.090577875,-0.002690386,-0.019791584
4,0,2.165274387,0.209409672,0.008635687,-0.355901478,0.661483021,7.642278445,2.160843118,0.167365767,0.015816117,-0.364402715,0.656991179,7.934895928,-0.004431269,-0.042043905,0.007180430,-0.010065465,-0.041124244,0.006809381,0.042882219,0.292873149,-0.008501236,-0.004491842,0.292617483
5,0,2.697105204,0.269746023,0.006666331,-0.193299285,0.689448421,7.739780541,2.687763897,0.174808437,0.022063770,-0.273270069,0.695502414,8.661520443,-0.009341308,-0.094937586,0.015397439,-0.022225530,-0.092865185,0.014817883,0.096630670,0.926184653,-0.079970784,0.006053993,0.921739902
6,0,3.252845558,0.306356369,0.023990255,-0.507828179,0.146551298,5.362448320,3.242231734,0.221408810,0.043089611,-0.511730824,0.143673912,6.319783891,-0.010613824,-0.084947559,0.019099356,-0.018555006,-0.083749434,0.018310393,0.087712749,0.957357734,-0.003902645,-0.002877385,0.957335572
7,0,3.752615471,0.369912779,0.027215960,-0.243820403,0.565310583,7.344056122,3.740361333,0.293067792,0.050107041,-0.244239960,0.563574177,8.313265393,-0.012254139,-0.076844987,0.022891081,-0.022201278,-0.074743980,0.022355271,0.081112992,0.969215050,-0.000419557,-0.001736406,0.969209271
8,0,4.260971165,0.427465641,0.037289650,-0.163712421,0.103346437,6.992434323,4.247188653,0.358719456,0.063933316,-0.163535104,0.101420864,7.977683355,-0.013782512,-0.068746185,0.026643667,-0.022097065,-0.066632752,0.026413569,0.075005870,0.985250612,0.000177317,-0.001925573,0.985249032
9,0,4.772682595,0.446537585,0.046254470,-0.367934975,0.182685060,3.531014946,4.757946156,0.385816813,0.076661233,-0.367798429,0.179763121,4.543664778,-0.014736439,-0.060720772,0.030406763,-0.018545042,-0.059891551,0.029963804,0.069489179,1.012653625,0.000136546,-0.002921939,1.012649832
10,0,5.346335458,0.478435292,0.050357299,0.050554602,0.770766308,4.661740518,5.330630182,0.427222496,0.084522195,0.050858481,0.768574591,5.697721669,-0.015705276,-0.051212795,0.034164895,-0.020273331,-0.049737036,0.033939144,0.063534606,1.035979432,0.000303880,-0.002191717,1.035981151
11,0,5.850644648,0.491370869,0.057416818,-0.044520434,1.280548050,2.341484175,5.834253270,0.448460050,0.095335667,-0.044225526,1.278760285,3.407633877,-0.016391378,-0.042910819,0.037918849,-0.018973704,-0.042234448,0.037471386,0.059563872,1.066144656,0.000294908,-0.001787765,1.066149702
12,0,6.368419381,0.537386597,0.052814941,-0.283551707,0.751147620,4.814641676,6.350667366,0.503420063,0.094466250,-0.284164903,0.748361784,5.907825126,-0.017752016,-0.033966534,0.041651309,-0.021084540,-0.032561092,0.041217818,0.056601158,1.093195196,-0.000613196,-0.002785836,1.093183451
13,0,6.934237731,0.550071469,0.055335590,-0.255593522,0.189257618,1.805717642,6.915680250,0.526438830,0.101080830,-0.257149592,0.187040276,2.915074419,-0.018557482,-0.023632639,0.045745239,-0.019443941,-0.023239700,0.045578045,0.054731240,1.109365194,-0.001556069,-0.002217342,1.109356777
14,0,7.488658584,0.485638747,0.056554809,0.391499060,0.353138569,-4.843083555,7.470632715,0.472353159,0.106749579,0.392286521,0.350317313,-3.717100203,-0.018025869,-0.013285588,0.050194770,-0.017148896,-0.014417422,0.050189711,0.054963204,1.125982327,0.000787461,-0.002821257,1.125983352
