from_kf,to_kf,measurement_translation_m,measurement_yaw_deg,before_translation_m,before_yaw_deg,after_translation_m,after_yaw_deg,deformation_local_x,deformation_local_y,deformation_local_z,deformation_translation_m,deformation_rotation_deg,deformation_yaw_deg,correction_gradient_world_x,correction_gradient_world_y,correction_gradient_world_z,correction_gradient_world_norm,after_measurement_error_translation_m,after_measurement_error_rotation_deg
0,1,0.519655019,2.869457247,0.519655019,2.869457247,0.519654998,2.869420505,0.000000001,-0.000004983,-0.000000049,0.000004983,0.000237230,-0.000036742,0.000000250,-0.000004977,-0.000000031,0.000004983,0.000004983,0.000237230
1,2,0.515138036,1.057542295,0.515138036,1.057542295,0.515131903,1.056539416,-0.000004860,-0.000081171,0.000004092,0.000081419,0.004250984,-0.001002878,0.000000805,-0.000081585,0.000004493,0.000081713,0.000081419,0.004250984
2,3,0.519499442,1.795647609,0.519499442,1.795647609,0.519433581,1.776837991,-0.000082943,-0.001617884,-0.000241170,0.001637862,0.088171705,-0.018809618,0.000078459,-0.001628162,-0.000232171,0.001646503,0.001637862,0.088171705
3,4,0.622411303,1.920046978,0.622411303,1.920046978,0.613336226,2.232948903,-0.009907889,-0.039216849,0.007005335,0.041051215,0.322676525,0.312901925,-0.004510782,-0.040329181,0.007408140,0.041251309,0.041051215,0.322676525
4,5,0.535246086,0.097666884,0.535246086,0.097666884,0.527010373,0.726801697,-0.012417293,-0.054449936,0.007833827,0.056394624,0.634114507,0.629134813,-0.004910039,-0.052893681,0.008217009,0.053752853,0.056394624,0.634114507
5,6,0.557214300,-2.379245527,0.557214300,-2.379245527,0.556819776,-2.344438051,-0.000503266,0.001043653,0.003716427,0.003892855,0.083932812,0.034807477,-0.001272516,0.009990028,0.003701917,0.010729592,0.003892855,0.083932812
6,7,0.503805309,1.985196653,0.503805309,1.985196653,0.503306419,1.997107968,-0.000574599,-0.000179295,0.003761367,0.003809224,0.012436892,0.011911315,-0.001640315,0.008102572,0.003791725,0.009095025,0.003809224,0.012436892
7,8,0.511702377,-0.353595300,0.511702377,-0.353595300,0.511248706,-0.337559405,-0.000551930,-0.000431132,0.003734832,0.003799931,0.016047117,0.016035896,-0.001528373,0.008098802,0.003752585,0.009055850,0.003799931,0.016047117
8,9,0.512145189,-3.461164184,0.512145189,-3.461164184,0.511634140,-3.433767206,-0.000620821,-0.000748875,0.003739415,0.003863866,0.027419758,0.027396978,-0.000953927,0.008025413,0.003763097,0.008915051,0.003863866,0.027419758
9,10,0.574553657,1.134435576,0.574553657,1.134435576,0.574232722,1.157769555,-0.000425516,-0.000587736,0.003723994,0.003794025,0.023340252,0.023333978,-0.000968837,0.009507976,0.003758132,0.010269558,0.003794025,0.023340252
10,11,0.504524454,-2.320217750,0.504524454,-2.320217750,0.504186651,-2.290060339,-0.000500051,-0.000793554,0.003723996,0.003840302,0.030168723,0.030157411,-0.000686102,0.008301976,0.003753953,0.009137051,0.003840302,0.030168723
11,12,0.519835838,2.472639187,0.519835838,2.472639187,0.519331183,2.499675719,-0.000531179,-0.000654059,0.003706313,0.003800881,0.027079087,0.027036532,-0.001360637,0.008944285,0.003732460,0.009786870,0.003800881,0.027079087
