from_kf,to_kf,info_tx,info_ty,info_tz,info_rx,info_ry,info_rz,direct_world_x,direct_world_y,direct_world_z,effective_world_x,effective_world_y,effective_world_z,relative_world_x,relative_world_y,relative_world_z,weak_eigenvalue,weak_axis_world_z_alignment
0,1,0.565659778,0.995947774,1.000000000,19.522040034,10.395494009,14.756506599,0.570080175,0.992556818,0.998970559,0.443631639,0.469838912,0.603579787,0.735000821,0.778420555,1.000000000,0.234857805,0.604407858
1,2,0.481596735,1.000000000,0.903794703,20.037647958,7.958937639,12.193403666,0.480704027,1.002962869,0.901724543,0.380906688,0.505139533,0.527767674,0.721731753,0.957124808,1.000000000,0.205119752,0.588312060
2,3,0.524314623,0.896256971,1.000000000,17.609483165,10.027372690,15.166090645,0.523130439,0.898146243,0.999294912,0.415273752,0.501436976,0.640016624,0.648848384,0.783474924,1.000000000,0.263938486,0.523512327
3,4,0.498088051,0.828048110,1.000000000,17.095192522,8.615714474,14.343679954,0.497684845,0.829789003,0.998662313,0.393298424,0.486399191,0.717806041,0.547917405,0.677619249,1.000000000,0.261880686,0.466674540
4,5,0.456612179,0.724681514,1.000000000,15.066911999,8.734844274,15.135704107,0.453073404,0.729253909,0.998966379,0.354042444,0.414860181,0.706948813,0.500803505,0.586831993,1.000000000,0.255663770,0.421316519
5,6,0.467480676,0.769923642,1.000000000,16.041998359,8.384190898,14.863539165,0.461941016,0.775799743,0.999663558,0.363633733,0.424203568,0.739397793,0.491797157,0.573714950,1.000000000,0.271502538,0.404793964
6,7,0.598942857,0.932859014,1.000000000,15.064549608,10.944334513,18.889325318,0.590948205,0.942316545,0.998537121,0.457025566,0.504135183,0.692832517,0.659647973,0.727643652,1.000000000,0.293797818,0.540747423
7,8,0.603509560,0.888102001,1.000000000,13.514778531,9.345506680,14.528521411,0.591782069,0.900336300,0.999493192,0.447439331,0.475636615,0.712895842,0.627636332,0.667189493,1.000000000,0.298802577,0.509606161
8,9,0.571514656,0.774685697,1.000000000,12.248741798,7.888010033,13.471334391,0.569311089,0.777814624,0.999074640,0.426320474,0.411610763,0.715488329,0.595845462,0.575286481,1.000000000,0.278549677,0.484047235
9,10,0.569307934,0.803609395,1.000000000,11.229048637,8.809775761,12.885403923,0.561002814,0.812933414,0.998981102,0.430865713,0.407203099,0.631805214,0.681959731,0.644507342,1.000000000,0.270112903,0.553370761
