current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
55,4,5,0,0.886126704,0.456020704,30.181316030,2.775237669,-0.085537971,3.421071291,-0.055402167,0.348787934,26.760244739,2.830639837,-0.434325905,26.913042551,28.107631878,-1.184161376,0.222987437,0.519877814,0.978043535,-1.915231451,1.205418186,-0.431656523,0.351417653,-3.368032016,3.247527354,1.063448453,26.847795675,-1.331483456,1.318792677,4.054377287,-2.086182401,-3.108453439,26.913123099,5.476004250,26.913042551,5.476004250,0
56,4,5,0,0.896949711,0.450974378,30.743082888,2.847738044,-0.091285755,3.733271122,0.040672049,0.351037264,27.009811766,2.807065995,-0.442323019,27.158888062,28.674079214,-1.187017959,0.223761497,0.377051057,1.148728481,0.034896369,1.527574213,-0.377992541,0.357720070,-4.197681979,4.259316304,2.379952177,27.024701147,-2.067971460,1.731643393,4.751050625,-2.926856570,-2.569278341,27.158968443,6.091502073,27.158888062,6.091502073,0
57,4,5,0,0.864344638,0.457775090,31.319255551,2.937804023,-0.099079207,4.473743916,-0.128995270,0.291983157,26.845511636,3.066799293,-0.391062364,27.022947335,29.257162919,-1.174369539,0.222778108,0.313421500,1.563875576,2.231678887,2.239540573,-0.644305716,0.305226838,-5.760193586,3.279568245,6.071878280,26.770859436,-3.513532718,1.104370423,6.281752755,-1.314558756,-3.992319416,27.023017247,7.518862160,27.022947335,7.518862160,0
58,4,5,0,0.811219947,0.502133871,31.903873999,2.938724785,-0.113938949,2.923421144,0.560118794,0.939671159,28.980452854,2.378605991,-1.053610108,29.096984524,29.836843977,-1.251151841,0.214133015,0.198753320,1.374073739,-4.779657542,0.787250875,0.240924928,0.941701483,-2.802967273,11.386024504,-5.539088451,28.629789080,1.071656054,5.081847417,2.892812548,-10.036593947,0.275402811,29.097052130,10.454431071,29.096984524,10.454431071,0
59,8,5,0,0.848608838,0.468835499,32.501296169,2.987981087,-0.130995441,4.432653427,0.173408180,0.606466472,28.068642742,2.814572907,-0.737461913,28.219042792,28.342250298,-0.896119243,-0.119724369,-0.179288551,1.036066946,-1.916064657,0.138449941,-0.274694065,0.568644909,-2.509152128,9.543184064,0.579268626,27.920122455,-1.080634220,3.952309984,2.772652533,-8.379416462,-2.894601272,28.219173667,9.223723704,28.219042792,9.223723704,0
60,8,5,0,0.844408428,0.473040932,33.079333961,3.063318285,-0.127705485,4.806241989,0.437448591,0.630265057,28.273091972,2.625869694,-0.757970542,28.404884098,28.925153319,-0.891724135,-0.115370428,-0.145036159,0.719876034,0.750853009,0.541360083,-0.058168515,0.593789062,-1.261416066,10.542118821,2.774073909,27.962115498,-2.304441952,4.432747142,1.509710644,-9.768030071,-2.270690906,28.404922162,10.111720664,28.404884098,10.111720664,0
61,7,5,0,0.822506862,0.466879757,33.646293768,3.133896955,-0.127989439,4.943306923,0.585404754,0.524221897,28.702986845,2.548492201,-0.652211336,28.823283053,30.001827446,-1.080506823,0.136213796,0.252650476,1.117552958,0.479531546,1.203506834,0.059355166,0.509162146,-0.232830971,7.161811836,0.677976874,28.604779132,-1.493642903,3.212322399,0.511637201,-6.043335278,-0.224237903,28.823313021,6.068090233,28.823283053,6.068090233,0
62,5,5,0,0.741302409,0.446146663,34.224303123,3.177717417,-0.137021773,4.192506313,0.310145229,0.254694372,30.031796809,2.867572188,-0.391716146,30.170933552,31.631050702,-1.365211993,0.232336386,0.374154486,0.843835093,-2.151207667,1.484126481,-0.162256941,0.265359674,-1.472854943,-0.136062102,-0.492772593,30.156055049,-0.940645347,-0.128852938,1.842698600,1.022133231,-1.632790851,30.170997213,2.675733007,30.170933552,2.675733007,0
65,14,6,1,0.654516640,0.490032727,35.813964977,3.345967014,-0.154333634,6.720898834,0.579577755,0.088551538,29.093066143,2.766389260,-0.242885173,29.225304111,27.983454281,5.241155447,-0.074230177,-0.997836656,1.363796881,8.476549844,-0.773132111,0.028969261,0.027034818,-2.371284845,2.083672167,9.322568761,29.205471117,0.444809539,0.980499797,1.404119690,-0.684049966,-0.874884975,29.225310581,1.786102554,29.225304111,1.786102554,0
66,20,6,1,0.747500000,0.489138275,36.375747845,3.408202267,-0.162366702,9.026955847,0.699711481,0.285685265,27.348791998,2.708490785,-0.448051967,27.486234675,25.707723957,-0.015277696,0.050910478,-1.934349707,0.812017807,0.012654023,-1.774517779,0.431205758,0.192820068,-2.224597227,8.301131045,3.589291653,27.133776664,-2.312591534,3.728544855,0.824577607,-7.327256861,-3.895328264,27.486214043,8.313228836,27.486234675,8.313228836,0
